timestamp,open,high,low,close,volume
3/8/2024,3875.42,4000,3826.37,3892.6,165705.3587
3/7/2024,3822.1,3941.57,3736.5,3875.28,137053.143
3/6/2024,3557.42,3903.42,3502,3821.82,219365.5685
3/5/2024,3632.92,3829.93,3205,3557.41,365410.4775
3/4/2024,3489.95,3650,3430,3633.23,152726.4994
3/3/2024,3423.77,3493.78,3363.59,3489.53,65187.62063
3/2/2024,3436.37,3462,3398.14,3424.04,59797.37297
3/1/2024,3341.78,3454.95,3340.15,3436,108273.1233
2/29/2024,3386.64,3521.99,3302.1,3341.78,184874.5204
2/28/2024,3244.35,3492.31,3185,3386.64,231321.8569
2/27/2024,3178.28,3291.36,3167.8,3243.84,144336.79
2/26/2024,3113.37,3198.77,3036.62,3178.34,149112.0568
2/25/2024,2992.41,3121.04,2983.45,3113.17,86028.20848
2/24/2024,2921.76,3005.28,2906.2,2992.66,46828.08721
2/23/2024,2969.75,2991.94,2905.71,2921.79,95313.32394
2/22/2024,2968.37,3035.84,2906.13,2969.77,159019.683
2/21/2024,3015.53,3017.99,2868.32,2968.37,168311.0769
2/20/2024,2944.94,3033.53,2873.82,3015.56,162450.2496
2/19/2024,2881.91,2985,2857.33,2945.43,102810.47
2/18/2024,2787.12,2896.74,2765.55,2882.06,64492.75637
2/17/2024,2804.09,2806.8,2719.73,2786.83,50463.18174
2/16/2024,2825.88,2860.28,2745.48,2803.89,108579.8359
2/15/2024,2777.37,2868.68,2761.9,2825.94,123679.7688
2/14/2024,2641.84,2788.95,2619.36,2777.56,110804.3856
2/13/2024,2661.13,2687.13,2590.41,2641.63,128589.0931
2/12/2024,2508.49,2666.66,2472.17,2661.03,115679.3629
2/11/2024,2501.08,2540.57,2494.42,2508.11,37979.95085
2/10/2024,2487.87,2518.02,2473.32,2501.08,33777.58282
2/9/2024,2419.78,2524.11,2418.79,2487.84,121261.7651
2/8/2024,2424.71,2462.69,2410.77,2419.78,111654.9081
2/7/2024,2372.09,2446.9,2352.34,2424.55,81310.98318
2/6/2024,2298.93,2392.65,2295.79,2372.09,102729.5793
2/5/2024,2288.82,2336.1,2268,2298.91,44870.3655
2/4/2024,2295.97,2309.45,2266.14,2288.82,29623.64332
2/3/2024,2308.06,2328.42,2292.29,2295.97,17826.99315
2/2/2024,2303.66,2323.4,2280.43,2308.03,50538.333
2/1/2024,2281.55,2310.97,2239.04,2303.61,62864.7814
1/31/2024,2342.96,2352.17,2262.47,2281.6,85201.86397
1/30/2024,2317.63,2391.91,2296.86,2342.96,96526.62504
1/29/2024,2256.47,2322.55,2233.15,2317.42,63329.25489
1/28/2024,2268.12,2307.97,2239.3,2256.51,39248.46861
1/27/2024,2267.47,2282.54,2250.9,2268.07,30982.52441
1/26/2024,2217.29,2281.72,2194.88,2267.34,94910.5413
1/25/2024,2234.34,2241.35,2169.47,2217.3,75539.58539
1/24/2024,2241.1,2262.88,2195.32,2234.06,72772.97341
1/23/2024,2311.52,2349.07,2165.01,2240.81,186226.7517
1/22/2024,2455.09,2464.33,2301,2311.34,152916.3952
1/21/2024,2470.51,2480.69,2451.26,2455.52,20818.01056
1/20/2024,2489.98,2489.98,2452.02,2470.44,27547.90443
1/19/2024,2468.82,2502.14,2412.4,2490.13,96947.2038
1/18/2024,2528.02,2547.67,2423.43,2468.82,128802.6178
1/17/2024,2586.46,2592.5,2505.19,2527.94,78118.40218
1/16/2024,2509.85,2614.04,2498.25,2586.83,98820.86634
1/15/2024,2470.65,2551.77,2468.6,2509.94,72919.1616
1/14/2024,2578.13,2578.96,2467.97,2470.66,103969.5028
1/13/2024,2522.02,2589.97,2496.41,2578.12,121668.1901
1/12/2024,2618.37,2717.89,2455,2522.03,254977.6355
1/11/2024,2584.85,2691.07,2567.08,2618.31,237306.4718
1/10/2024,2344.97,2644.42,2340.77,2584.77,317568.8922
1/9/2024,2332.52,2376.1,2228.42,2344.93,180275.7377
1/8/2024,2222.86,2360.81,2167.68,2332.51,124227.6609
1/7/2024,2241.81,2258.57,2206.66,2222.69,44609.45118
1/6/2024,2270.29,2271.72,2217,2241.87,43380.28085
1/5/2024,2269.48,2278.84,2207.6,2270.35,103166.138
1/4/2024,2210.49,2297.64,2203.1,2269.47,139871.1059
1/3/2024,2356.27,2385.66,2100,2210.49,238855.8731
1/2/2024,2352.8,2433.19,2342.19,2356.16,146957.4184
1/1/2024,2281.03,2353.33,2264.86,2352.76,65735.83713
12/31/2023,2291.51,2320.48,2259.1,2281.07,94453.26053
12/30/2023,2299.17,2322.86,2267.63,2291.15,66344.10815
12/29/2023,2345.08,2386.99,2255.78,2299.37,155499.3755
12/28/2023,2380.54,2448.25,2336.7,2344.94,187887.7924
12/27/2023,2230.93,2393.39,2212.12,2380.66,167830.7419
12/26/2023,2271.42,2275.2,2148.1,2230.91,112774.7713
12/25/2023,2265.45,2304.93,2253.96,2271.53,46049.0145
12/24/2023,2309.51,2327.66,2244.79,2265.33,66756.02178
12/23/2023,2326.49,2332.69,2266.79,2309.58,71690.42077
12/22/2023,2239.92,2344.26,2230.66,2326.35,173481.6649
12/21/2023,2201.93,2279.65,2182.83,2239.92,136641.486
12/20/2023,2177.32,2264.85,2156.96,2202,164826.6804
12/19/2023,2218.58,2254.14,2134.43,2177.27,122574.0237
12/18/2023,2194.45,2223.31,2115.22,2218.71,103052.2313
12/17/2023,2227.19,2247.08,2189.89,2194.75,56323.14053
12/16/2023,2220.44,2262,2209.68,2227.29,49598.43029
12/15/2023,2315.81,2318.39,2199.76,2220.31,122773.5705
12/14/2023,2260.69,2332.39,2229.9,2315.95,142369.0229
12/13/2023,2202.39,2284.98,2144.52,2260.69,141516.2879
12/12/2023,2224.15,2243.23,2164.82,2202.34,128295.6889
12/11/2023,2352.71,2354.99,2127.36,2224.06,193291.0654
12/10/2023,2341.48,2377.61,2322.53,2352.29,44645.61295
12/9/2023,2359.01,2403.37,2329.35,2341.28,69627.48311
12/8/2023,2356.4,2392.35,2338.25,2358.59,130139.8192
12/7/2023,2233.08,2384,2222.58,2356.57,159654.7168
12/6/2023,2293.96,2312.75,2219.61,2232.8,134193.6573
12/5/2023,2243.25,2309.82,2187.97,2293.97,167077.7725
12/4/2023,2194.12,2274.95,2192.41,2243.29,156712.8668
12/3/2023,2165.85,2217.78,2150.3,2194.13,78192.25685
